음식,열량
미나리나물(05),23.92
미나리콩나물무침(05),43.52
미니우동(01)(05)(06),524.1
미니우동(01)(06),177.5
미니핫도그,110.51
미역오이냉국,26.21
미트볼스파게티(01)(02)(05)(06)(10)(12)(15)(16),1056.75
미트볼스파게티(02)(05)(06)(10)(12)(16),633.15
미트볼스파게티(05)(06)(10)(12),247.15
미트볼양념조림(01)(05)(06)(10),459.02
미트볼케찹조림(01)(05)(06)(10)(12),227.43
미트볼케찹조림(06)(10)(12),215.02
미트볼토마토스파게티(01)(02)(05)(06)(10)(15),1463.46
민어매운탕(09),67.18
바게트,0.0
바나나,76.8
바베큐볶음밥,0.0
바베큐폭립,366.4
바베큐폭립(05),434.3
바베큐폭립(05)(10)(12),384.0
바베큐폭립(10)(12),637.64
바지락비빔밥(05)(06),447.2
바지락순두부찌개(01)(05),58.37
바지락순두부찌개(01)(05)(17),77.76
반건조고구마,218.4
반미샌드위치(01)(05)(06)(10),635.21
밥,363.0
밥(소),122.5
밥바,350.0
밥싸먹는햄,0.0
방어순살튀김(01)(06),243.83
방어순살튀김(02)(05)(06)(16),74.81
방어순살튀김(05)(06),322.53
방울토마토(비생산기)(12),14.256
배(신고),34.03
배추겉절이,15.0
배추김치(10~11월),25.49
배추김치(3~4월),9.25
배추김치(5~6월),21.68
배추김치(7~9월),8.25
배추김치(다수공급자),0.0
배추김치(다수공급자)(09)(18),14.06
배추된장국,24.56
